date,store,item,quantity,price,total,original_price,corrected_price,price_was_total_flag
2025-01-02,Walmart,"Great Value Whole Vitamin D Milk, Gallon, 128 fl oz",1.0,2.3700,2.3700,2.37,2.3700,yes
2025-01-02,Walmart,"Great Value Turkey Pepperoni Slices, 5 oz",1.0,2.9800,2.9800,2.98,2.9800,yes
2025-01-02,Walmart,"Great Value Original Whipped Cream Cheese Spread, 12 oz Tub",1.0,3.2600,3.2600,3.26,3.2600,yes
2025-01-02,Walmart,"Thomas' Plain Mini Bagels, 10 count, Kosher Mini Bagels, 15 oz Bag",1.0,4.4800,4.4800,4.48,4.4800,yes
2025-01-02,Walmart,"Thomas' Light Multi-Grain English Muffins, 6 count, 100 Calories English Muffins, 12 oz Tray",2.0,3.4800,6.9600,6.96,3.4800,yes
2025-01-02,Walmart,"Fresh Strawberries, 1 lb",1.0,4.7400,4.7400,4.74,4.7400,yes
2025-01-02,Walmart,"Fresh Glorys Cherry Tomatoes, 10 oz Package",1.0,2.4800,2.4800,2.48,2.4800,yes
2025-01-02,Walmart,"Fresh Red Bell Pepper, 1 Each",1.0,1.48,1.48,1.48,,no
2025-01-02,Walmart,"Fresh Honeycrisp Apples, 3 lb Bag",1.0,6.3400,6.3400,6.34,6.3400,yes
2025-01-09,Target,Crunchmaster Multi-Grain Sea Salt Crackers 4oz,2.0,3.69,7.38,3.69,,no
2025-01-11,Target,Crunchmaster Multi-Grain Sea Salt Crackers 4oz,1.0,3.49,3.49,3.49,,no
2025-01-11,Target,Popcorners White Cheddar Sharing Size - 7oz,1.0,4.79,4.79,4.79,,no
2025-01-11,Target,"Dawn Platinum Powerwash Dish Spray, Dish Soap Refill - Fresh - 16oz: Multi-Surface",2.0,3.99,7.98,3.99,,no
2025-01-11,Target,Hardwood Smoked Classic Sliced Cut Bacon - 16oz - Market Pantry™,1.0,4.99,4.99,4.99,,no
2025-01-11,Target,Dr Teal's Epsom Salt Magnesium Soak - Relax & Relief with Eucalyptus & Spearmint 3lbs,1.0,5.89,5.89,5.89,,no
2025-01-11,Target,General Mills Cheerios Honey Nut Breakfast Cereal - 27.2oz,1.0,6.19,6.19,6.19,,no
2025-01-12,Walmart,"Birds Eye Steamfresh Mixed Vegetables, Frozen Vegetables, 10 oz. Bag",2.0,1.0000,2.0000,2.0,1.0000,yes
2025-01-12,Walmart,"Great Value Pre-Sliced Cinnamon Raisin Bread, 16 oz",1.0,2.4700,2.4700,2.47,2.4700,yes
2025-01-12,Walmart,"Fresh Banana, Each",10.0,0.192,1.92,0.192,,no
2025-01-12,Walmart,"TPH BY TARAJI Hustle & Co Hydrating Co Wash Cleansing Hair Conditioner | Coily & Curly Hair | All Genders, 12 oz.",1.0,9.9700,9.9700,9.97,9.9700,yes
2025-01-12,Walmart,"Heinz Chili Sauce, 12 oz Bottle",2.0,3.1800,6.3600,6.36,3.1800,yes
2025-01-12,Walmart,"GoGo squeeZ Active Electrolyte No Sugar Added Strawberry Pineapple Orange Fruit Blend, 3.9 oz (10 Pack)",1.0,9.9800,9.9800,9.98,9.9800,yes
2025-01-12,Walmart,Plum Organics® Jammy Sammy® Snack Size Sandwich Bar Blueberry + Oatmeal 5-Count Box/1.02oz Bars,2.0,3.2600,6.5200,6.52,3.2600,yes
2025-01-12,Walmart,"Plum Organics® Tots Mighty Builder Fruit & Veggie Blend Pear, White Bean, Blueberry, Date + Chia & Banana, White Bean, Strawberry + Chia 4oz Pouch-8-pack",1.0,11.5800,11.5800,11.58,11.5800,yes
2025-01-12,Walmart,Plum Organics® Teensy® Snacks Mixed Berry Soft Fruit Snacks .35oz Pouch/5-Count Box,2.0,2.8300,5.6600,5.66,2.8300,yes
2025-01-12,Walmart,"TPH BY TARAJI Make it Rain Hydrating Deep Conditioner With Aloe Vera, Avocado Oil, & Moringa Oil For All Hair Types | Detangler For Curly, Coily & Wavy Hair | Color Safe & Sulfate Free, 12 oz.",1.0,9.9700,9.9700,9.97,9.9700,yes
2025-01-12,Walmart,"bubly Sparkling Water, The Super Mario Galaxy Movie Cherry, Zero Sugar & Zero Calories ,12 fl oz Cans (8 pack)​",2.0,4.1800,8.3600,8.36,4.1800,yes
2025-01-12,Walmart,"bubly Sparkling Water, The Super Mario Galaxy Movie Lime, Zero Sugar & Zero Calories, 12 fl oz Cans (8 pack)​",2.0,4.1800,8.3600,8.36,4.1800,yes
2025-01-12,Walmart,"Cholula Kosher Green Pepper Hot Sauce, 5.0 fl oz Bottle",1.0,3.8200,3.8200,3.82,3.8200,yes
2025-01-12,Walmart,"Great Value Oven Roasted Turkey Breast Lunchmeat, 16 oz, Plastic Tub, Refrigerated",1.0,5.9700,5.9700,5.97,5.9700,yes
2025-01-12,Walmart,"Great Value Uncooked Original Breakfast Pork Sausage Links, 12 oz Package",2.0,3.4800,6.9600,6.96,3.4800,yes
2025-01-12,Walmart,"King's Hawaiian Original Hawaiian Sweet Dinner Rolls 24 Count, 24 oz, Shelf-Stable",1.0,7.6600,7.6600,7.66,7.6600,yes
2025-01-12,Walmart,"Smucker's Concord Grape Jelly, 18 oz",2.0,2.8400,5.6800,5.68,2.8400,yes
2025-01-12,Walmart,"Kraft Mexican Style Cheddar Jack Shredded Cheese, 16 oz Bag",1.0,5.6400,5.6400,5.64,5.6400,yes
2025-01-12,Walmart,"Great Value Sharp Cheddar Finely Shredded Cheese, 8 oz Bag",1.0,2.2400,2.2400,2.24,2.2400,yes
2025-01-12,Walmart,"Great Value Jasmine Rice, 2 lb",1.0,3.1200,3.1200,3.12,3.1200,yes
2025-01-12,Walmart,"Campbell's Condensed Cream of Mushroom Soup, 10.5 oz Can",2.0,1.0000,2.0000,2.0,1.0000,yes
2025-01-12,Walmart,"Great Value Frozen Broccoli Florets, 32 oz Bag",1.0,2.7400,2.7400,2.74,2.7400,yes
2025-01-12,Walmart,"Great Value Golden Sweet Whole Kernel Corn, 15 oz",1.0,0.6400,0.6400,0.64,0.6400,yes
2025-01-12,Walmart,"Old El Paso Mild Red Enchilada Sauce, Meal Prep, 10 oz",3.0,1.9800,5.9400,5.94,1.9800,yes
2025-01-12,Walmart,La Banderita Yellow Corn Tortilla 30 Count,2.0,2.2400,4.4800,4.48,2.2400,yes
2025-01-12,Walmart,"Great Value Mild Cheddar Finely Shredded Cheese, 8 oz Bag",1.0,2.2400,2.2400,2.24,2.2400,yes
2025-01-12,Walmart,"Heinz HomeStyle Beef Gravy, 12 oz Jar",2.0,2.2200,4.4400,4.44,2.2200,yes
2025-01-12,Walmart,"Great Value Original Whipped Cream Cheese Spread, 12 oz Tub",2.0,3.2600,6.5200,6.52,3.2600,yes
2025-01-12,Walmart,"BelGioioso Gluten-Free Asiago Specialty Cheese Wedge, 8 oz",2.0,5.4200,10.8400,10.84,5.4200,yes
2025-01-12,Walmart,"Great Value Muenster Deli Style Sliced Cheese, 8 oz, 12 Slices",2.0,2.2400,4.4800,4.48,2.2400,yes
2025-01-12,Walmart,"Nature's Own 100% Whole Wheat, Whole Wheat Sandwich Bread, 20 oz Loaf, Shelf-Stable",1.0,3.6400,3.6400,3.64,3.6400,yes
2025-01-12,Walmart,"Great Value Whole Vitamin D Milk, Gallon, 128 fl oz",1.0,2.3700,2.3700,2.37,2.3700,yes
2025-01-12,Walmart,Fresh Whole Russet Potatoes 5 lb Bag,1.0,3.9700,3.9700,3.97,3.9700,yes
2025-01-12,Walmart,"Fresh Strawberries, 1 lb",1.0,4.7400,4.7400,4.74,4.7400,yes
2025-01-12,Walmart,"Fresh Honeycrisp Apples, 3 lb Bag",1.0,6.3400,6.3400,6.34,6.3400,yes
2025-01-12,Walmart,"Fresh Glorys Cherry Tomatoes, 10 oz Package",2.0,2.4800,4.9600,4.96,2.4800,yes
2025-01-12,Walmart,"Thomas' Cinnamon Raisin Bagels, 6 count, 9g Protein, Kosher Bagels, 20 oz Bag",2.0,7.94,15.88,7.94,,no
2025-01-12,Walmart,"Great Value Mixed Vegetables, 12 oz Steamable Bag (Frozen)",2.0,0.9800,1.9600,1.96,0.9800,yes
2025-01-16,Target,Marshmallow Whipped Dairy Topping - 13oz - Favorite Day™,1.0,3.49,3.49,3.49,,no
2025-01-16,Target,Fresh Honeycrisp Apples - 3lb Bag - Good & Gather™,1.0,5.19,5.19,5.19,,no
2025-01-16,Target,Applegate Natural Prosciutto - 3oz,1.0,1.0,1.0,1.0,,no
2025-01-16,Target,Applegate Natural Uncured Peppered Genoa Salami - 4oz,1.0,4.99,4.99,4.99,,no
2025-01-16,Target,Peppermint Whipped Dairy Topping - 13oz - Favorite Day™,1.0,3.49,3.49,3.49,,no
2025-01-16,Target,Holiday Vanilla Flavored Stars & Trees Marshmallows - 8oz - Favorite Day™,3.0,1.29,3.87,1.29,,no
2025-01-16,Target,Holiday Hot Cocoa Whipped Dairy Topping - 13oz - Favorite Day™,1.0,3.49,3.49,3.49,,no
2025-01-16,Target,Starbucks Peppermint Hot Cocoa Mix - 6oz/6ct,1.0,4.99,4.99,4.99,,no
2025-01-16,Target,Ghirardelli Christmas Candy Peppermint Bark Milk Chocolate Squares - 4.57oz,1.0,5.99,5.99,5.99,,no
2025-01-16,Target,Crunchmaster Multi-Grain Sea Salt Crackers 4oz,1.0,3.49,3.49,3.49,,no
2025-01-18,Walmart,"Great Value Waffles Cones, 7 oz, 12 Count",1.0,2.4400,2.4400,2.44,2.4400,yes
2025-01-18,Walmart,"Fresh Whole Red Onion, Each",1.0,0.89,0.89,0.89,,no
2025-01-18,Walmart,"Fresh Whole Yellow Onion, Each",1.0,1.17,1.17,1.17,,no
2025-01-18,Walmart,"Fresh Banana, Each",5.0,0.18,0.9,0.18,,no
2025-01-18,Walmart,"Fresh Slicing Tomato, Each",2.0,0.725,1.45,0.725,,no
2025-01-18,Walmart,"Sweet Potatoes Whole Fresh, Each",4.0,0.785,3.14,0.785,,no
2025-01-18,Walmart,"Tostitos Scoops! Tortilla Chips Multigrain, 10 oz Bag",2.0,4.4800,8.9600,8.96,4.4800,yes
2025-01-18,Walmart,"Great Value Fiesta Cheese Finely Shredded Blend, 32 oz Bag",1.0,8.2400,8.2400,8.24,8.2400,yes
2025-01-18,Walmart,"bubly Sparkling Water, The Super Mario Galaxy Movie Cherry, Zero Sugar & Zero Calories ,12 fl oz Cans (8 pack)​",1.0,4.1800,4.1800,4.18,4.1800,yes
2025-01-18,Walmart,"Smithfield Hickory Smoked Bacon, 16 oz, Gluten-Free, No MSG",1.0,4.9800,4.9800,4.98,4.9800,yes
2025-01-18,Walmart,"Freshness Guaranteed Sliced Sourdough Bread Loaf, 24 oz",1.0,3.9800,3.9800,3.98,3.9800,yes
2025-01-18,Walmart,"Bagel Bites Three Cheese Mini Pizza Bagel Frozen Snacks, 40 ct Box",1.0,9.9800,9.9800,9.98,9.9800,yes
2025-01-18,Walmart,"HERSHEY’S a2 Milk® Chocolate 2% Reduced Fat Milk Boxes, 8 oz, 12-Pack",1.0,11.9800,11.9800,11.98,11.9800,yes
2025-01-18,Walmart,"The Cheesecake Factory At Home Famous ""Brown Bread"" Wheat Dinner Rolls",1.0,3.9800,3.9800,3.98,3.9800,yes
2025-01-18,Walmart,"Great Value Wide Egg Noodles, 16 oz",1.0,1.4800,1.4800,1.48,1.4800,yes
2025-01-18,Walmart,"Great Value Organic Reduced Sodium Gluten-Free Chicken Broth, 32 oz Carton (Shelf-Stable)",2.0,1.9600,3.9200,3.92,1.9600,yes
2025-01-18,Walmart,"Organic Fresh Whole Carrots, 2 lb Bag",1.0,2.1400,2.1400,2.14,2.1400,yes
2025-01-18,Walmart,"Ore-Ida Extra Crispy Fast Food French Fries French Fried Potatoes, 26 oz Bag",2.0,3.9700,7.9400,7.94,3.9700,yes
2025-01-18,Walmart,"Great Value Original Sour Cream, 24 oz Tub",1.0,2.7400,2.7400,2.74,2.7400,yes
2025-01-18,Walmart,"King's Hawaiian Original Hawaiian Sweet Dinner Rolls 24 Count, 24 oz, Shelf-Stable",1.0,7.6600,7.6600,7.66,7.6600,yes
2025-01-18,Walmart,"McCormick Chili Seasoning Mix, 1.25 oz Packet",1.0,1.3700,1.3700,1.37,1.3700,yes
2025-01-18,Walmart,"Bush's Chili Beans, Canned Pinto Beans in Mild Chili Sauce, 16 oz Can",1.0,1.8200,1.8200,1.82,1.8200,yes
2025-01-18,Walmart,"Great Value Petite Diced Tomatoes in Tomato Juice, 14.5 oz",1.0,0.9600,0.9600,0.96,0.9600,yes
2025-01-18,Walmart,"Oscar Mayer Turkey Franks Hot Dogs, 16 oz, 10 ct Pack",1.0,3.9700,3.9700,3.97,3.9700,yes
2025-01-18,Walmart,"Great Value Cookies & Cream Ice Cream, 48 fl oz",1.0,2.8700,2.8700,2.87,2.8700,yes
2025-01-18,Walmart,"Great Value Vanilla Bean Flavored Ice Cream, 48 fl oz",1.0,2.8700,2.8700,2.87,2.8700,yes
2025-01-18,Walmart,"Great Value Chocolate Chip Cookie Dough Ice Cream, 48 fl oz",1.0,2.8700,2.8700,2.87,2.8700,yes
2025-01-18,Walmart,"Ball Park White Burger Buns, 8 count, Kosher Hamburger Buns, 15 oz Bag",1.0,2.9400,2.9400,2.94,2.9400,yes
2025-01-18,Walmart,"Fluffernutter Marshmallow Fluff, 7.5 oz",1.0,1.5200,1.5200,1.52,1.5200,yes
2025-01-18,Walmart,"Reddi-wip Original Whipped Topping Made with Real Cream, 6.5 oz",1.0,3.1200,3.1200,3.12,3.1200,yes
2025-01-18,Walmart,"Hershey's Chocolate Syrup, Bottle 24 oz",1.0,3.6200,3.6200,3.62,3.6200,yes
2025-01-18,Walmart,"Hershey's Caramel Flavored Syrup, Bottle 22 oz",1.0,3.6200,3.6200,3.62,3.6200,yes
2025-01-18,Walmart,"Fresh Lime, Each",1.0,0.25,0.25,0.25,,no
2025-01-18,Walmart,"Queso-Melt Original Restaurant Style Melting Cheese, 10 oz, 1 Count",2.0,4.6800,9.3600,9.36,4.6800,yes
2025-01-18,Walmart,"Marketside Fresh Shredded Iceberg Lettuce, 8 oz, Bag",1.0,1.9700,1.9700,1.97,1.9700,yes
2025-01-18,Walmart,"Mission Super Soft Flour Tortillas, Soft Taco Size, 10 Count",1.0,2.7800,2.7800,2.78,2.7800,yes
2025-01-18,Walmart,"Old El Paso Stand 'N Stuff Taco Shells, Gluten Free, Meal Prep, 10 Count, 4.7 oz",1.0,2.1800,2.1800,2.18,2.1800,yes
2025-01-18,Walmart,"Great Value Mild Cheddar Finely Shredded Cheese, 8 oz Bag",1.0,2.2400,2.2400,2.24,2.2400,yes
2025-01-18,Walmart,"Pillsbury Grands! Southern Homestyle Buttermilk Biscuits, 2 Pack, 16 Biscuits, 32.6 oz",1.0,4.9600,4.9600,4.96,4.9600,yes
2025-01-18,Walmart,"Great Value Uncooked Original Breakfast Pork Sausage Links, 12 oz Package",2.0,3.4800,6.9600,6.96,3.4800,yes
2025-01-18,Walmart,"Jimmy Dean Premium Pork Regular Sausage Roll, 16 oz",2.0,3.9800,7.9600,7.96,3.9800,yes
2025-01-18,Walmart,"Fresh Hass Avocados, Each",4.0,0.88,3.52,0.88,,no
2025-01-18,Walmart,"Fresh Celery Hearts, Each",1.0,2.72,2.72,2.72,,no
2025-01-18,Walmart,"Fresh Red Bell Pepper, 1 Each",1.0,1.48,1.48,1.48,,no
2025-01-18,Walmart,"Fresh Whole Brown Mushrooms, 8 oz",1.0,1.8800,1.8800,1.88,1.8800,yes
2025-01-18,Walmart,"Fresh Honeycrisp Apples, 3 lb Bag",1.0,6.3400,6.3400,6.34,6.3400,yes
2025-01-18,Walmart,"Fresh Strawberries, 1 lb",1.0,3.0800,3.0800,3.08,3.0800,yes
2025-01-20,Target,PopCorners White Cheddar - 12oz,1.0,6.69,6.69,6.69,,no
2025-01-20,Target,Muenster Deli Sliced Cheese - 8oz/12 slices - Good & Gather™,1.0,1.89,1.89,1.89,,no
2025-01-20,Target,Popcorners Kettle Corn Snacks Sharing Size - 7oz,1.0,1.0,1.0,1.0,,no
2025-01-20,Target,Tazo Classic Chai Latte Black Tea Concentrate - 32 fl oz,1.0,4.99,4.99,4.99,,no
2025-01-20,Target,Tazo Chai Pumpkin Spice Latte Tea Concentrate - 32 fl oz,1.0,4.99,4.99,4.99,,no
2025-01-20,Target,Toddler Boys' Fleece Zip-Up Hoodie Sweatshirt - Cat & Jack™ Khaki 5T,1.0,8.4,8.4,8.4,,no
2025-01-20,Target,Toddler Boys' Long Sleeve Knit T-Shirt - Cat & Jack™ Brown 5T,1.0,3.5,3.5,3.5,,no
2025-01-20,Target,Whipped Plain Cream Cheese Spread - 8oz - Good & Gather™,1.0,1.99,1.99,1.99,,no
2025-01-20,Target,Kinder's Buttery Steakhouse Seasoning - 5.5oz,1.0,4.49,4.49,4.49,,no
2025-01-20,Target,Salt Free Garlic & Herb Seasoning Blend - 2.5oz - Good & Gather™,1.0,1.99,1.99,1.99,,no
2025-01-20,Target,Santitas White Corn Tortilla Chips - 11oz,2.0,2.99,5.98,2.99,,no
2025-01-22,Target,Applegate Natural Uncured Genoa Salami - 4oz,3.0,4.99,14.97,4.99,,no
2025-01-22,Target,Crunchmaster Multi-Grain Sea Salt Crackers 4oz,2.0,3.49,6.98,3.49,,no
2025-01-22,Target,Hardwood Smoked Thick Cut Bacon - 16oz - Market Pantry™,1.0,1.0,1.0,1.0,,no
2025-01-22,Target,"Deer Park Spring Water - 32 Pack/16.9 FL Oz, Plastic Bottles",2.0,5.99,11.98,5.99,,no
2025-01-22,Target,Shredded Sharp Cheddar Cheese - 8oz - Good & Gather™,1.0,1.99,1.99,1.99,,no
2025-01-22,Target,Vitamin D Whole Milk - 1gal - Good & Gather™,1.0,2.39,2.39,2.39,,no
2025-01-22,Target,Tostitos Multigrain Scoops! Tortilla Chips-10oz,2.0,4.99,9.98,4.99,,no
2025-01-25,Walmart,"Fresh Banana, Each",10.0,0.156,1.56,0.156,,no
2025-01-25,Walmart,"PopCorners No Artificial Colors or Flavors White Cheddar Popped Corn Chips Bag, 7 oz",2.0,3.5000,7.0000,7.0,3.5000,yes
2025-01-25,Walmart,"Heinz Tomato Ketchup, 32 oz Bottle",1.0,4.7600,4.7600,4.76,4.7600,yes
2025-01-25,Walmart,"Tostitos Scoops! Tortilla Chips Multigrain, 10 oz Bag",2.0,4.4800,8.9600,8.96,4.4800,yes
2025-01-25,Walmart,Plum Organics® Jammy Sammy® Snack Size Sandwich Bar Blueberry + Oatmeal 5-Count Box/1.02oz Bars,2.0,3.2600,6.5200,6.52,3.2600,yes
2025-01-25,Walmart,"Plum Organics® Tots Mighty Builder Fruit & Veggie Blend Pear, White Bean, Blueberry, Date + Chia & Banana, White Bean, Strawberry + Chia 4oz Pouch-8-pack",2.0,10.8800,21.7600,21.76,10.8800,yes
2025-01-25,Walmart,Plum Organics® Teensy® Snacks Mixed Berry Soft Fruit Snacks .35oz Pouch/5-Count Box,2.0,2.8300,5.6600,5.66,2.8300,yes
2025-01-25,Walmart,"Premium Original Saltine Crackers, Lunch Snacks, 16 oz",1.0,3.6800,3.6800,3.68,3.6800,yes
2025-01-25,Walmart,"Oikos Triple Zero 17g Protein, 0g Added Sugar, Fat Free Vanilla Greek Yogurt Tub, 32 oz",1.0,5.78,5.78,5.78,,no
2025-01-25,Walmart,Chobani 20G Protein Low-Fat Greek Yogurt Drink Strawberries & Cream 10 fl oz Bottle,4.0,9.88,39.52,9.88,,no
2025-01-25,Walmart,"BelGioioso Gluten-Free Asiago Specialty Cheese Wedge, 8 oz",1.0,5.4200,5.4200,5.42,5.4200,yes
2025-01-25,Walmart,"Snyder's of Hanover Pretzels, Braided Pretzel Twists Honey Wheat, 12 oz",1.0,3.6200,3.6200,3.62,3.6200,yes
2025-01-25,Walmart,"Classico Four Cheese Alfredo Pasta Sauce, 15 oz. Jar",2.0,2.9800,5.9600,5.96,2.9800,yes
2025-01-25,Walmart,"Great Value Bowties, 12 oz",1.0,0.9800,0.9800,0.98,0.9800,yes
2025-01-25,Walmart,"""JIFFY"" Corn Muffin Mix, 8.5 oz Box",1.0,0.5000,0.5000,0.5,0.5000,yes
2025-01-25,Walmart,"Great Value Honey, 12 oz Plastic Bear",1.0,3.7400,3.7400,3.74,3.7400,yes
2025-01-25,Walmart,"Lipton Recipe Secrets Onion Dry Recipe Soup and Dip Mix, 2 Oz, 2 Pack",1.0,1.9200,1.9200,1.92,1.9200,yes
2025-01-25,Walmart,"Simply Potatoes Shredded Hash Browns, 20 oz Bag (Refrigerated)",1.0,3.1200,3.1200,3.12,3.1200,yes
2025-01-25,Walmart,"Pillsbury Orange Rolls with Cinnabon Cinnamon and Orange Icing, 8 Count, 13.9 oz",1.0,2.9700,2.9700,2.97,2.9700,yes
2025-01-25,Walmart,"Great Value Large White Eggs, 18 Count",1.0,6.7200,6.7200,6.72,6.7200,yes
2025-01-25,Walmart,"Great Value Cut Green Beans, 14.5 oz Can",4.0,0.6400,2.5600,2.56,0.6400,yes
2025-01-25,Walmart,"Barilla Classic Whole Grain Pasta, Thin Spaghetti Noodles, 16 oz",1.0,1.8400,1.8400,1.84,1.8400,yes
2025-01-25,Walmart,"Queso-Melt Original Restaurant Style Melting Cheese, 10 oz, 1 Count",1.0,4.6800,4.6800,4.68,4.6800,yes
2025-01-25,Walmart,"Nature's Own 100% Whole Wheat, Whole Wheat Sandwich Bread, 20 oz Loaf, Shelf-Stable",1.0,3.6400,3.6400,3.64,3.6400,yes
2025-01-25,Walmart,"Great Value Italian Style Finely Shredded Cheese, 16 oz Bag",1.0,4.2200,4.2200,4.22,4.2200,yes
2025-01-25,Walmart,"Classico Signature Recipes Traditional Pizza Sauce, 14 oz Jar",1.0,2.9200,2.9200,2.92,2.9200,yes
2025-01-25,Walmart,"Pillsbury Original Crescent Rolls, Dough, 2 Pack, 16 Rolls, 16 oz",2.0,4.9600,9.9200,9.92,4.9600,yes
2025-01-25,Walmart,"Great Value Sharp Cheddar Finely Shredded Cheese, 8 oz Bag",1.0,2.2400,2.2400,2.24,2.2400,yes
2025-01-25,Walmart,"Red Lobster Cheddar Bay Biscuit Mix, Garlic Herb Seasoning Included, Cheddar Biscuit Mix, 11.36 Oz Box",1.0,2.8600,2.8600,2.86,2.8600,yes
2025-01-25,Walmart,"Great Value Turkey Pepperoni Slices, 5 oz",2.0,2.9800,5.9600,5.96,2.9800,yes
2025-01-25,Walmart,"Pepperidge Farm Raisin Cinnamon Swirl Breakfast Bread, 16 oz Loaf",1.0,3.4700,3.4700,3.47,3.4700,yes
2025-01-25,Walmart,"Great Value Original Whipped Cream Cheese Spread, 12 oz Tub",1.0,3.2600,3.2600,3.26,3.2600,yes
2025-01-25,Walmart,"Thomas' Plain Mini Bagels, 10 count, Kosher Mini Bagels, 15 oz Bag",2.0,4.4800,8.9600,8.96,4.4800,yes
2025-01-25,Walmart,"Fresh Strawberries, 1 lb",1.0,3.0800,3.0800,3.08,3.0800,yes
2025-01-25,Walmart,"Fresh Honeycrisp Apples, 3 lb Bag",1.0,6.3400,6.3400,6.34,6.3400,yes
2025-01-25,Walmart,"Green Bell Pepper, 1 each",1.0,0.92,0.92,0.92,,no
2025-01-25,Walmart,"Fresh Whole Brown Mushrooms, 8 oz",1.0,1.8800,1.8800,1.88,1.8800,yes
2025-01-25,Walmart,"(2 pack) Classico Tomato & Basil Spaghetti Pasta Sauce, 24 oz. Jar",1.0,5.9600,5.9600,5.96,5.9600,yes
2025-01-25,Walmart,"Thomas' Cinnamon Raisin Bagels, 6 count, 9g Protein, Kosher Bagels, 20 oz Bag",2.0,7.94,15.88,7.94,,no
2025-01-25,Walmart,"Organic Marketside Fresh Baby Peeled Carrots, 1 lb Bag",1.0,1.6600,1.6600,1.66,1.6600,yes
2025-01-31,Target,Shredded Mexican-Style Cheese - 16oz - Good & Gather™,1.0,3.49,3.49,3.49,,no
2025-01-31,Target,So Good So You Energy Passionfruit Organic Probiotic Shot - 1.7 fl oz,1.0,3.49,3.49,3.49,,no
2025-01-31,Target,Queso Mama White Queso with Diced Green Chilies - 12oz,1.0,1.0,1.0,1.0,,no
2025-01-31,Target,Tostitos Multigrain Scoops! Tortilla Chips-10oz,2.0,4.99,9.98,4.99,,no
2025-01-31,Target,Popcorners White Cheddar Sharing Size - 7oz,2.0,4.79,9.58,4.79,,no
2025-01-31,Target,Halloween Color Your Own Table Cover - Spritz™,1.0,3.0,3.0,3.0,,no
2025-01-31,Target,Vitamin D Whole Milk - 1gal - Good & Gather™,1.0,2.49,2.49,2.49,,no
2025-01-31,Target,General Mills Cheerios Honey Nut Breakfast Cereal - 27.2oz,1.0,6.19,6.19,6.19,,no
2025-01-31,Target,Jimmy Dean Regular Pork Sausage Roll - 16oz,1.0,4.99,4.99,4.99,,no
2025-01-31,Target,Crunchmaster Multi-Grain Sea Salt Crackers 4oz,1.0,3.49,3.49,3.49,,no
2025-01-31,Target,Tazo Classic Chai Latte Black Tea Concentrate - 32 fl oz,1.0,4.94,4.94,4.94,,no
2025-01-31,Target,Frozen Sunbutter No Crust Sandwich Strawberry - 4ct - Good & Gather™,1.0,1.99,1.99,1.99,,no
