canonical_item,category_guess,perishable_guess,base_unit,size_unit,first_date,last_date,weeks_observed_all,total_qty_all,total_qty_13w,units_per_week_all,units_per_week_13w,occurrences_all,occurrences_13w,raw_examples
Planters Deluxe Honey Roasted,Uncategorized,Non-perishable,each,oz,2026-01-20,2026-03-05,61.71,6.00,6.00,0.0972,0.4615,5,5,"PLANTERS Deluxe Honey Roasted Whole Cashews, Sweet and Salty Snacks, Plant Based Protein, 8.25 oz Steel Can"
Oat Milk,Dairy,Perishable,fl oz,fl oz,2025-01-02,2026-01-20,61.71,17.00,5.00,0.2755,0.3846,16,5,"Oatly Original Oatmilk, Dairy-Free Milk, 64 fl oz Refrigerated Carton | Planet Oat Oat Milk, Velvety & Smooth, Barista Lovers, 52 fl oz"
Mccormick Chili Seasoning Mix,Uncategorized,Non-perishable,each,oz,2025-01-02,2026-03-02,61.71,22.00,5.00,0.3565,0.3846,17,5,"McCormick Chili Seasoning Mix, 1.25 oz Packet"
Crackers,Uncategorized,Non-perishable,each,,2025-03-08,2026-02-04,61.71,9.00,5.00,0.1458,0.3846,9,5,"RITZ Peanut Butter Sandwich Crackers, Lunch Snacks, 20 Snack Packs (6 Crackers Per Pack) | Stacy’s No Artificial Colors or Flavors Sea Salt Bagel Chips Bag, 7 oz​ | (5 pack) Lunchables Ham and Cheddar Cracker Stackers Value Snack Kit, 1.9 oz Tray, Refrigerated, Pieces | Crunchmaster Multi-Seed Original Gluten-Free crackers, Party Pack, 7 oz. Bag in Box | Entertainment Collection Crackers Variety Pack - 13.1oz - Good & Gather™"
Juice,Uncategorized,Non-perishable,each,fl oz,2025-05-23,2026-02-22,61.71,12.00,5.00,0.1944,0.3846,9,4,"(2 pack) Capri Sun Fruit Punch Juice Box Pouches, 10 ct Box, 6 fl oz Pouches | Honest Kids Organic Appley Ever After Fruit Juice, 6 fl oz, 8 Juice Boxes | Honest Kids Organic Super Fruit Punch Juice, 6.75 fl oz, 8 Pouches | Capri Sun Summer Blast Passion Fruit Mango Flavored Juice Drink Blend, from Concentrate with Other Natural Flavor, 10 ct Box, 6 fl oz Pouches, Liquids | Great Value 100% Apple Juice, 96 fl oz"
Chicken Breast,Uncategorized,Perishable,fl oz,oz,2026-01-09,2026-01-27,61.71,5.00,5.00,0.0810,0.3846,3,3,"Swanson White Premium Chunk Chicken Breast with Rib Meat in Water, 12.5 oz. (Pack of 2)"
So Good So You,Uncategorized,Non-perishable,each,fl oz,2025-01-31,2026-01-14,61.71,5.00,4.00,0.0810,0.3077,4,3,So Good So You Energy Passionfruit Organic Probiotic Shot - 1.7 fl oz
Siete Mild Taco Seasoning,Uncategorized,Non-perishable,each,oz,2025-03-10,2026-02-16,61.71,5.00,4.00,0.0810,0.3077,4,3,"Siete Mild Taco Seasoning, Mixed Spice, 1.31 oz. Packet"
Pillsbury Grands Southern Style,Uncategorized,Non-perishable,each,oz,2025-12-21,2026-03-09,61.71,4.00,4.00,0.0648,0.3077,4,4,"Pillsbury Grands! Southern Style Frozen Breakfast Biscuits, Value Pack, 20 ct., 41.6 oz"
Corn,Bakery,Non-perishable,each,oz,2025-01-25,2026-03-02,61.71,7.00,3.00,0.1134,0.2308,6,3,"""JIFFY"" Corn Muffin Mix, 8.5 oz Box"
Canned Pineapple,Produce,Perishable,each,oz,2025-02-08,2026-02-16,61.71,4.00,3.00,0.0648,0.2308,4,3,"Dole Pineapple Tidbits in 100% Fruit Juice, 20 oz Can | Great Value Canned Crushed Pineapple, 20 oz | Great Value Canned Pineapple Tidbits, 20 oz"
Yogurt,Dairy,Perishable,fl oz,lb,2025-06-08,2026-03-02,61.71,10.00,3.00,0.1620,0.2308,10,3,Cabot Creamery Cabot Whole Milk Plain Greek Yogurt 2 lb (Refrigerated  Tub)
Blue Diamond Almonds Lightly,Uncategorized,Non-perishable,each,oz,2025-10-14,2026-02-16,61.71,7.00,3.00,0.1134,0.2308,7,3,"Blue Diamond Almonds, Lightly Salted Snack Almonds perfect for lunches and on-the-go, 25 oz."
Fever Tree Ginger Beer,Uncategorized,Non-perishable,each,ml,2025-12-21,2025-12-29,61.71,3.00,3.00,0.0486,0.2308,2,2,Fever-Tree Ginger Beer 150ml Cans; 8-pack
Nature Valley Protein Oats,Uncategorized,Non-perishable,each,oz,2026-01-03,2026-01-27,61.71,3.00,3.00,0.0486,0.2308,3,3,"Nature Valley Protein Oats and Honey Granola, Family Size Pouch, 17 oz"
Superpretzel Bavarian Soft Pretzel,Uncategorized,Non-perishable,each,oz,2026-01-20,2026-01-27,61.71,3.00,3.00,0.0486,0.2308,2,2,"SUPERPRETZEL Bavarian Soft Pretzel Sticks, 24 oz, 10 Count (Frozen)"
Kodiak Protein Packed Honey,Uncategorized,Non-perishable,each,oz,2026-02-04,2026-03-09,61.71,3.00,3.00,0.0486,0.2308,3,3,"Kodiak Protein-Packed Honey Oat Protein Granola Bag, Ready to Eat, 11 oz"
Honey Stinger Energy Gel,Uncategorized,Non-perishable,each,oz,2026-02-22,2026-02-22,61.71,3.00,3.00,0.0486,0.2308,1,1,"Honey Stinger Organic Gluten-Free Energy Gel, Fruit Smoothie, 1.1 oz, 1 Count"
Tortillas,Pantry,Non-perishable,oz,,2025-01-02,2026-03-09,61.71,24.00,2.00,0.3889,0.1538,16,1,"La Banderita Yellow Corn Tortilla 30 Count | Mission Super Soft Flour Tortillas, Soft Taco Size, 10 Count | Olé Mexican Foods Xtreme Wellness High Fiber Keto Certified Flour Tortilla Wraps, 12.7 oz, 8 Count"
Pillsbury Orange Rolls With,Uncategorized,Non-perishable,each,oz,2025-01-02,2025-12-11,61.71,5.00,2.00,0.0810,0.1538,3,1,"Pillsbury Orange Rolls with Cinnabon Cinnamon and Orange Icing, 8 Count, 13.9 oz"
Applesauce,Produce,Perishable,each,oz,2025-01-12,2026-03-05,61.71,15.00,2.00,0.2431,0.1538,15,2,"GoGo squeeZ Active Electrolyte No Sugar Added Strawberry Pineapple Orange Fruit Blend, 3.9 oz (10 Pack) | GoGo squeeZ Applesauce and Fruit Puree, Apple Apple Snack Pouches, 3.2 oz, 20 Pack | GoGo squeeZ No Sugar Added Apple Applesauce & Fruit Puree Pouches, 3.2 oz (16 Pack) | GoGo squeeZ Active Energy No Sugar Added Strawberry Guava Fruit Blend Pouches, 3.9 oz (4 Pack) | GoGo squeeZ No Sugar Added Apple Apple Applesauce & Fruit Puree Pouches, 3.2 oz (24 Pack)"
Cholula Green Pepper Hot,Uncategorized,Non-perishable,each,fl oz,2025-01-12,2026-03-02,61.71,7.00,2.00,0.1134,0.1538,6,2,"Cholula Kosher Green Pepper Hot Sauce, 5.0 fl oz Bottle"
Lunch Meat,Produce,Perishable,each,oz,2025-01-16,2026-01-28,61.71,10.00,2.00,0.1620,0.1538,6,1,"Applegate Natural Prosciutto - 3oz | Applegate Natural Uncured Peppered Genoa Salami - 4oz | Applegate Natural Uncured Genoa Salami - 4oz | Hillshire Snacking Protein Genoa Salami, White Cheddar Cheese, Toasted Rounds Meat Snack Kit, 2.76 oz (Refrigerated)"
Frozen Pizza,Dairy,Perishable,each,,2025-01-18,2026-01-27,61.71,5.00,2.00,0.0810,0.1538,5,2,"Bagel Bites Three Cheese Mini Pizza Bagel Frozen Snacks, 40 ct Box"
Ketchup,Produce,Perishable,each,oz,2025-01-25,2026-03-05,61.71,7.00,2.00,0.1134,0.1538,7,2,"Heinz Tomato Ketchup, 32 oz Bottle"
Pillsbury Crescent Rolls Dough,Uncategorized,Non-perishable,each,oz,2025-01-25,2025-12-29,61.71,4.00,2.00,0.0648,0.1538,2,1,"Pillsbury Original Crescent Rolls, Dough, 2 Pack, 16 Rolls, 16 oz"
Kodiak Protein Packed Power,Dairy,Perishable,fl oz,oz,2025-02-17,2026-01-20,61.71,5.00,2.00,0.0810,0.1538,4,1,"Kodiak Protein-Packed Power Cakes Buttermilk Pancake and Waffle Mix, 20 oz Box"
Granola Bars,Uncategorized,Non-perishable,each,oz,2025-03-10,2026-01-14,61.71,4.00,2.00,0.0648,0.1538,4,2,"KIND Gluten Free Peanut Butter Dark Chocolate Snack Bars, Value Pack, 1.4 oz, 12 Count, Cardboard Box | MAGIC SPOON S'Mores Protein Bar Treat - 12g Protein - 5.6oz/4ct"
Syrup,Uncategorized,Non-perishable,each,fl oz,2025-06-02,2025-12-09,61.71,3.00,2.00,0.0486,0.1538,3,2,"Great Value Reduced Calorie Sugar Free Syrup, 24 fl oz | Maple Grove Farms Pure Maple Syrup, Kosher, 12.5 fl oz"
Romaine Lettuce Hearts Each,Uncategorized,Non-perishable,each,,2025-06-08,2025-12-26,61.71,4.00,2.00,0.0648,0.1538,4,2,"Fresh Romaine Lettuce Hearts 3 Count, Each"
Hand Soap,Uncategorized,Non-perishable,each,fl oz,2025-07-07,2026-01-27,61.71,4.00,2.00,0.0648,0.1538,3,1,"Dial Antibacterial Defense Fresh Lavender Scent Foaming Hand Soap, 7.5 fl oz"
Olive Oil,Uncategorized,Non-perishable,each,fl oz,2025-08-07,2025-12-21,61.71,3.00,2.00,0.0486,0.1538,3,2,"Great Value Organic Extra Virgin Olive Oil, 17 fl oz | Smash Kitchen Organic Classic Extra Virgin Olive Oil, 16.9 fl oz"
String Cheese,Dairy,Perishable,oz,oz,2025-08-10,2026-03-02,61.71,8.00,2.00,0.1296,0.1538,8,2,"Great Value Mozzarella String Cheese Sticks, 12 oz Bag, 12 Count | Kraft String Cheese Mozzarella Cheese Snacks, 12 ct Sticks | Great Value Low-Moisture Part-Skim Mozzarella String Cheese Snack, 12 oz, 12 Count | Great Value Whole Milk Low-Moisture Mozzarella String Cheese Sticks, 12 oz, 12 Count"
Conditioner,Uncategorized,Non-perishable,each,fl oz,2025-08-13,2026-03-02,61.71,4.00,2.00,0.0648,0.1538,4,2,"Cantu Sulfate-Free Hydrating Cream Conditioner, 25 fl oz | Native Moisturizing Conditioner Coconut and Vanilla 16.5 fl oz | TPH BY TARAJI Ride or Die Biotin Leave in Conditioner Spray Detangler for Dry Hair | Strength, Moisturizing & Anti Frizz | Natural + Curly Hair Product | Color Safe, 4 oz. | Method Moisturizing Conditioner, Simply Nourish, Sulfate Free, and Cruelty Free, 13.5 fl oz"
Little Debbie Vanilla Christmas,Uncategorized,Non-perishable,each,oz,2025-11-11,2025-12-09,61.71,8.00,2.00,0.1296,0.1538,5,1,"Little Debbie Vanilla Christmas Tree Cakes, 8.52 oz, 5 Count"
Paper Plates,Uncategorized,Non-perishable,each,,2025-11-22,2026-01-21,61.71,3.00,2.00,0.0486,0.1538,3,2,"Great Value Disposable Paper Plates, 8.5"", 100 Count | Dixie Disposable Paper Plates, 8.5"", Multi-Color, 50 Count | Great Value Disposable Paper Plates, 10"", 150 Count"
Gatorade Sports Drink Fruit,Uncategorized,Non-perishable,each,fl oz,2025-12-14,2026-03-02,61.71,2.00,2.00,0.0324,0.1538,2,2,"Gatorade Sports Drink, Fruit Punch/Glacier Cherry/Cool Blue Variety Pack, 12 fl oz, 18 Count Bottles"
Vita Coco The Coconut,Uncategorized,Non-perishable,fl oz,fl oz,2025-12-17,2025-12-17,61.71,2.00,2.00,0.0324,0.1538,1,1,"Vita Coco The Original Coconut Water, Nutrients & Electrolytes Rich, Pure, 16.9 fl oz Tetra"
Belgioioso Mozzarella Log Pre,Dairy,Perishable,oz,oz,2025-12-21,2025-12-21,61.71,2.00,2.00,0.0324,0.1538,1,1,"BelGioioso Fresh Mozzarella Log, Pre-Sliced Specialty Cheese, 16 oz Refrigerated Plastic Packet"
Velveeta Pasteurized Recipe Cheese,Dairy,Perishable,oz,oz,2026-01-03,2026-02-16,61.71,2.00,2.00,0.0324,0.1538,2,2,"Velveeta Original Pasteurized Recipe Cheese Product, 16 oz Block"
Ranch,Uncategorized,Non-perishable,each,fl oz,2026-01-09,2026-01-20,61.71,2.00,2.00,0.0324,0.1538,2,2,"Hidden Valley Original Ranch Dipping Sauce Salad Dressing and Topping, 20 fl oz Easy Squeeze Bottle"
Frank S Redhot Cayenne,Uncategorized,Non-perishable,each,fl oz,2026-01-09,2026-01-27,61.71,2.00,2.00,0.0324,0.1538,2,2,"Frank's RedHot Kosher Original Cayenne Pepper Hot Sauce, 23.0 fl oz Bottle"
Sweet Loren S Gluten,Uncategorized,Non-perishable,each,oz,2026-01-10,2026-01-10,61.71,2.00,2.00,0.0324,0.1538,1,1,Sweet Loren's Gluten Free Vegan Fudgy Brownie Cookie Dough - 12oz/12ct
Wholly Guacamole Minis Paste,Uncategorized,Non-perishable,each,oz,2026-01-13,2026-02-09,61.71,2.00,2.00,0.0324,0.1538,2,2,"WHOLLY GUACAMOLE Minis Paste, Classic, 12oz, 6 Pack"
Pillsbury Grands Cinnamon Rolls,Uncategorized,Non-perishable,each,oz,2026-01-17,2026-01-17,61.71,2.00,2.00,0.0324,0.1538,1,1,"Pillsbury Grands! Cinnamon Rolls, with Cinnabon Cinnamon and Original Icing, 5 Count, 17.5 oz"
Crest Pro Health Advanced,Uncategorized,Non-perishable,each,fl oz,2026-01-27,2026-01-27,61.71,2.00,2.00,0.0324,0.1538,1,1,"Crest Pro‑Health Advanced Fluoride Mouthwash, Alcohol‑Free Mouth Rinse for Whitening, Energizing Mint, 32 fl oz"
Avocados,Uncategorized,Non-perishable,each,,2026-01-28,2026-02-09,61.71,2.00,2.00,0.0324,0.1538,2,2,"Hass Avocados - 4ct - Good & Gather™ | Fresh Small Hass Avocados, 5-6 Count Bag"
King S Hawaiian Hawaiian,Uncategorized,Non-perishable,each,oz,2025-01-12,2025-12-26,61.71,27.00,1.00,0.4375,0.0769,24,1,"King's Hawaiian Original Hawaiian Sweet Dinner Rolls 24 Count, 24 oz, Shelf-Stable"
Pillsbury Grands Southern Homestyle,Dairy,Perishable,fl oz,oz,2025-01-18,2025-12-11,61.71,14.00,1.00,0.2269,0.0769,13,1,"Pillsbury Grands! Southern Homestyle Buttermilk Biscuits, 2 Pack, 16 Biscuits, 32.6 oz | Pillsbury Grands! Southern Homestyle Buttermilk Biscuits - 16.3oz/8ct"
Tazo Classic Chai Latte,Uncategorized,Non-perishable,each,fl oz,2025-01-20,2026-01-28,61.71,3.00,1.00,0.0486,0.0769,3,1,Tazo Classic Chai Latte Black Tea Concentrate - 32 fl oz
Yogurt Drinks,Dairy,Perishable,each,fl oz,2025-02-03,2026-01-15,61.71,17.00,1.00,0.2755,0.0769,12,1,"Activia Probiotic Dailies Strawberry Low Fat Probiotic Yogurt Drinks, Helps Support Gut Health, 3.1 fl oz, 8 Count | Activia Probiotic Dailies Strawberry and Blueberry Low Fat Probiotic Yogurt Drinks, Helps Support Gut Health, 3.1 fl oz, 8 Count | Oikos Pro Strawberry Cultured Dairy Drink - 3.1 fl oz/6ct"
Body Soap,Uncategorized,Non-perishable,each,fl oz,2025-03-19,2025-12-21,61.71,7.00,1.00,0.1134,0.0769,7,1,"SoCozy Kid's Swim 3-in-1 Shampoo Conditioner Body Wash for All Hair Types, with Activated Charcoal, 10.5 fl oz | Ivory Bar Soap, Original Scent, All Skin Types, 4 Count, 4 Ounces Each | Native Coconut & Vanilla Body Wash, 18 fl oz | Olay Nourishing Body Wash for women, Hyaluronic Acid, 20 fl oz | Native Limited Edition Vanilla Cream & Pumpkin Body Wash 18 FL OZ"
Smucker S Uncrustables Peanut,Uncategorized,Non-perishable,each,oz,2025-07-10,2026-02-26,61.71,4.00,1.00,0.0648,0.0769,4,1,"Smucker’s Uncrustables Peanut Butter & Strawberry Jam Sandwiches, 10 Count, 2 oz Each, Frozen | Smucker’s Uncrustables Peanut Butter & Grape Jelly Sandwiches, 10 Count, 2 oz Each, Frozen | Smucker’s Uncrustables Peanut Butter & Raspberry Spread Sandwiches, 4 Count, 2 oz Each, Frozen"
Dishwasher Detergent,Uncategorized,Non-perishable,each,fl oz,2025-08-14,2026-01-28,61.71,3.00,1.00,0.0486,0.0769,3,1,"Cascade Complete Dishwasher Detergent Liquid Gel, Dish Detergent, Dish Soap, Fresh, 120 fl oz | Cascade Platinum Dishwasher Pods, Dishwasher Detergent, Dish Detergent Soap, Fresh, 12 Count | Finish Jet-Dry Rinse Aid, Dishwasher Rinse & Drying Agent - 8.45 fl oz: Plastic Bottle,"
Swiffer Sweep Mop Heavy,Uncategorized,Non-perishable,each,,2025-10-19,2025-12-17,61.71,3.00,1.00,0.0486,0.0769,2,1,"Swiffer Sweep + Mop Heavy Duty Wet Refills, Multi-Surface Floor Cleaner, Unstopables Fresh, 20 Count"
Flour,Uncategorized,Non-perishable,each,lb,2025-11-22,2026-01-21,61.71,2.00,1.00,0.0324,0.0769,2,1,"King Arthur Baking Company Non-GMO Project Verified, Certified Kosher Unbleached All Purpose Flour, 5 lb Bag | King Arthur Baking Company Non-GMO Project Verified, Certified Kosher Unbleached All Purpose Flour, 10 lb Bag"
Traditional Medicinals Turmeric With,Uncategorized,Non-perishable,each,,2025-12-11,2025-12-11,61.71,1.00,1.00,0.0162,0.0769,1,1,"Traditional Medicinals, Organic Turmeric with Meadowsweet & Ginger Herbal Tea Bags, 16 Count"
Yogi Tea Elderberry Lemon,Uncategorized,Non-perishable,each,,2025-12-11,2025-12-11,61.71,1.00,1.00,0.0162,0.0769,1,1,"Yogi Tea Elderberry Lemon Balm Immune Plus Stress, Herbal Tea Bags, 16 Count"
Butter,Uncategorized,Non-perishable,each,lb,2025-12-17,2025-12-17,61.71,1.00,1.00,0.0162,0.0769,1,1,"Land O Lakes Unsalted Butter, 4 Sticks, 1 lb Pack"
Tylenol Cold Flu Severe,Uncategorized,Non-perishable,each,,2025-12-21,2025-12-21,61.71,1.00,1.00,0.0162,0.0769,1,1,"Tylenol Cold + Flu Severe Caplets for Multi-Symptom Relief, 24 Count."
Pompeian Red Wine Vinegar,Uncategorized,Non-perishable,each,fl oz,2025-12-21,2025-12-21,61.71,1.00,1.00,0.0162,0.0769,1,1,Pompeian Red Wine Vinegar - 16 fl oz
Ocean Spray Cranberry Juice,Uncategorized,Non-perishable,each,fl oz,2025-12-21,2025-12-21,61.71,1.00,1.00,0.0162,0.0769,1,1,"Ocean Spray® Cranberry Juice Cocktail, 64 fl oz Bottle"
Welch S Non Alcoholic,Uncategorized,Non-perishable,each,fl oz,2025-12-21,2025-12-21,61.71,1.00,1.00,0.0162,0.0769,1,1,"(2 pack) Welch's Non-Alcoholic Sparkling Rosé Grape Juice Cocktail, 25.4 fl oz Bottle"
Swiffer Dusters Multi Surface,Uncategorized,Non-perishable,each,,2026-01-03,2026-01-03,61.71,1.00,1.00,0.0162,0.0769,1,1,"Swiffer Dusters Multi-Surface Refills, Unscented, 10 Count Dusters"
Equate Isopropyl Alcohol Antiseptic,Uncategorized,Non-perishable,each,fl oz,2026-01-09,2026-01-09,61.71,1.00,1.00,0.0162,0.0769,1,1,"Equate 70% Isopropyl Alcohol Antiseptic, 32 fl oz"
Wet Brush Go Green,Uncategorized,Non-perishable,each,,2026-01-11,2026-01-11,61.71,1.00,1.00,0.0162,0.0769,1,1,Wet Brush Go Green Tea Tree Oil Treatment Comb - Green 1CT
Pen Gear Economy White,Uncategorized,Non-perishable,each,,2026-01-11,2026-01-11,61.71,1.00,1.00,0.0162,0.0769,1,1,"Pen + Gear Economy White Poster Board, 22""x28"", 1 Count"
Disposable Plastic White Forks,Uncategorized,Non-perishable,each,,2026-01-13,2026-01-13,61.71,1.00,1.00,0.0162,0.0769,1,1,"Great Value Disposable Plastic White Forks, 48 Count"
Tazo Tea Latte Chai,Uncategorized,Non-perishable,each,fl oz,2026-01-13,2026-01-13,61.71,1.00,1.00,0.0162,0.0769,1,1,Tazo Organic Tea Latte Chai Black Tea - 32 fl oz
Just Bare Lightly Breaded,Bakery,Perishable,oz,oz,2026-01-15,2026-01-15,61.71,1.00,1.00,0.0162,0.0769,1,1,Just Bare Lightly Breaded Chicken Breast Strips - Frozen - 24oz
Oregon Chai Chai Concentrate,Uncategorized,Non-perishable,each,,2026-01-20,2026-01-20,61.71,1.00,1.00,0.0162,0.0769,1,1,"Oregon Chai Original Chai Concentrate, 32 Fluid Ounces (Pack of 1), Organic & Non-GM)"
Oral B Floss Glide,Uncategorized,Non-perishable,each,,2026-01-27,2026-01-27,61.71,1.00,1.00,0.0162,0.0769,1,1,"Oral‑B Floss, Glide Ultra Deep Clean Floss Picks 75 Count"
Tazo Green Ginger Tea,Uncategorized,Non-perishable,each,,2026-01-28,2026-01-28,61.71,1.00,1.00,0.0162,0.0769,1,1,Tazo Organic Green Ginger Tea Bags - 16ct
Tazo Passion Herbal Tea,Uncategorized,Non-perishable,each,,2026-01-28,2026-01-28,61.71,1.00,1.00,0.0162,0.0769,1,1,Tazo Passion Herbal Tea Bags - 20ct
Tazo Wild Sweet Orange,Uncategorized,Non-perishable,each,,2026-01-28,2026-01-28,61.71,1.00,1.00,0.0162,0.0769,1,1,Tazo Wild Sweet Orange Caffeine-Free Herbal Tea Bags - 20ct
Cascade Complete Dishwashing Liquid,Uncategorized,Non-perishable,each,fl oz,2026-01-28,2026-01-28,61.71,1.00,1.00,0.0162,0.0769,1,1,Cascade Complete Dishwashing Liquid Gel Fresh Detergent - 120 fl oz
Goodnites Boys Disposable Nighttime,Uncategorized,Non-perishable,each,,2026-01-28,2026-01-28,61.71,1.00,1.00,0.0162,0.0769,1,1,Goodnites Boys' Disposable Nighttime Underwear - Size XS - 44ct | HRA/FSA Eligible
Character Toddler Boy Briefs,Uncategorized,Non-perishable,each,,2026-02-04,2026-02-04,61.71,1.00,1.00,0.0162,0.0769,1,1,"Character Toddler Boy Briefs, 6- Pack, Sizes 2T-4T"
Dum Dums Valentines Cards,Uncategorized,Non-perishable,each,oz,2026-02-11,2026-02-11,61.71,1.00,1.00,0.0162,0.0769,1,1,"Dum Dums Valentines cards for kids classroom, Valentines Party Favors, Original Flavors Lollipops Valentines Candy Bouquets, 8.6 oz, 50 Ct Box"
